Transaction_ID,Date,Time,Age_Group,Category,Product_Name,Price,Quantity,Payment_Method,Store_Location,Total_Amount
T00001,2026-01-11,09:03,50s,Alcohol,소주,2100,2,Points,Yeouido,4200
T00002,2026-02-11,23:03,20s,Alcohol,소주,2100,3,Mobile Pay,Mapo,6300
T00003,2026-02-08,19:41,30s,Beverage,에너지드링크,2200,2,Mobile Pay,Sinsa,4400
T00004,2026-02-10,12:05,60s+,Alcohol,와인,15000,2,Mobile Pay,Sinsa,30000
T00005,2026-02-11,04:12,20s,Tobacco,메비우스,4500,2,Cash,Yeouido,9000
T00006,2026-01-12,14:51,20s,Fresh Food,샌드위치,2800,2,Cash,Hongdae,5600
T00007,2026-01-04,15:20,10s,Beverage,에너지드링크,2200,2,Credit Card,Gangnam,4400
T00008,2026-01-02,12:24,30s,Fresh Food,혜자로운 도시락,5200,1,Credit Card,Mapo,5200
T00009,2026-01-25,03:06,20s,Fresh Food,참치마요 삼각김밥,1200,1,Credit Card,Sinsa,1200
T00010,2026-02-01,22:56,50s,Tobacco,에쎄 프라임,4500,2,Points,Hongdae,9000
T00011,2026-01-07,12:50,40s,Alcohol,캔맥주 500ml,2800,2,Points,Sinsa,5600
T00012,2026-01-10,21:00,60s+,Fresh Food,샌드위치,2800,1,Cash,Sinsa,2800
T00013,2026-01-04,18:14,50s,Beverage,에너지드링크,2200,1,Mobile Pay,Yeouido,2200
T00014,2026-01-06,18:40,60s+,Tobacco,메비우스,4500,3,Credit Card,Yeouido,13500
T00015,2026-02-04,19:31,30s,Beverage,아이스 아메리카노,2500,1,Credit Card,Sinsa,2500
T00016,2026-01-22,02:00,30s,Tobacco,메비우스,4500,2,Mobile Pay,Gangnam,9000
T00017,2026-01-01,06:44,30s,Beverage,아이스 아메리카노,2500,2,Credit Card,Mapo,5000
T00018,2026-02-01,02:38,20s,Alcohol,소주,2100,3,Points,Sinsa,6300
T00019,2026-02-12,06:54,20s,Fresh Food,참치마요 삼각김밥,1200,3,Points,Mapo,3600
T00020,2026-02-09,08:07,20s,Beverage,바나나우유,1700,3,Cash,Mapo,5100
T00021,2026-02-15,00:42,10s,Instant Food,불닭볶음면 큰컵,1800,2,Mobile Pay,Gangnam,3600
T00022,2026-02-12,23:55,40s,Instant Food,신라면 소컵,1100,2,Points,Gangnam,2200
T00023,2026-01-01,00:39,30s,Beverage,바나나우유,1700,2,Credit Card,Sinsa,3400
T00024,2026-01-31,20:11,40s,Tobacco,메비우스,4500,1,Cash,Mapo,4500
T00025,2026-01-03,13:58,40s,Alcohol,와인,15000,2,Points,Gangnam,30000
T00026,2026-01-15,16:48,20s,Beverage,아이스 아메리카노,2500,1,Mobile Pay,Yeouido,2500
T00027,2026-01-19,02:38,30s,Beverage,아이스 아메리카노,2500,2,Cash,Sinsa,5000
T00028,2026-02-15,15:03,50s,Tobacco,메비우스,4500,2,Points,Sinsa,9000
T00029,2026-02-08,03:03,10s,Fresh Food,샌드위치,2800,3,Credit Card,Mapo,8400
T00030,2026-01-14,18:55,30s,Alcohol,소주,2100,3,Cash,Mapo,6300
T00031,2026-02-12,18:00,40s,Beverage,에너지드링크,2200,3,Cash,Gangnam,6600
T00032,2026-01-31,17:19,20s,Fresh Food,샌드위치,2800,2,Points,Hongdae,5600
T00033,2026-02-10,17:56,20s,Fresh Food,참치마요 삼각김밥,1200,2,Credit Card,Yeouido,2400
T00034,2026-01-05,11:27,30s,Alcohol,소주,2100,1,Points,Yeouido,2100
T00035,2026-01-31,01:34,20s,Beverage,에너지드링크,2200,3,Points,Gangnam,6600
T00036,2026-01-07,11:55,40s,Snack,초코빈,1200,2,Cash,Mapo,2400
T00037,2026-01-11,13:06,20s,Tobacco,메비우스,4500,1,Cash,Sinsa,4500
T00038,2026-01-13,22:41,30s,Snack,포카칩,1700,1,Points,Sinsa,1700
T00039,2026-02-01,14:36,20s,Fresh Food,혜자로운 도시락,5200,3,Mobile Pay,Mapo,15600
T00040,2026-02-05,02:38,40s,Instant Food,컵누들,1800,3,Mobile Pay,Mapo,5400
T00041,2026-01-06,21:51,10s,Fresh Food,혜자로운 도시락,5200,2,Mobile Pay,Gangnam,10400
T00042,2026-01-24,01:30,20s,Instant Food,불닭볶음면 큰컵,1800,3,Points,Sinsa,5400
T00043,2026-01-02,05:42,10s,Instant Food,불닭볶음면 큰컵,1800,1,Credit Card,Gangnam,1800
T00044,2026-02-02,07:58,20s,Fresh Food,혜자로운 도시락,5200,2,Credit Card,Mapo,10400
T00045,2026-01-28,03:16,30s,Instant Food,컵누들,1800,3,Mobile Pay,Sinsa,5400
T00046,2026-01-16,02:04,30s,Alcohol,와인,15000,2,Credit Card,Gangnam,30000
T00047,2026-01-25,19:57,10s,Snack,초코빈,1200,2,Points,Hongdae,2400
T00048,2026-02-01,03:03,10s,Instant Food,컵누들,1800,2,Points,Gangnam,3600
T00049,2026-02-07,06:40,20s,Fresh Food,참치마요 삼각김밥,1200,3,Credit Card,Sinsa,3600
